cust_id,kabupaten,provinces_name,is_bad_cust,first_bu,second_bu,first_lob,second_lob,first_asset_price,second_asset_price,first_asset_year,second_asset_year,first_go_live_date,second_go_live_date,cust_gender,cust_job,cust_age
custid_22433, BATAM,KEPULAUAN RIAU,0,BU_B,BU_B,NCF,NCF,298000000,394000000,2019,2019,2019-04-21 17:00:00,2020-03-30 17:00:00,MALE,POLISI,50
custid_22434, BALIKPAPAN,KALIMANTAN TIMUR,0,BU_B,BU_B,UCF,NCF,165000000,424000000,2013,2019,2019-04-29 17:00:00,2020-01-28 17:00:00,MALE,PENGUSAHA,33
custid_22435, JAKARTA BARAT,DKI JAKARTA,0,BU_B,BU_B,NCF,NCF,481000000,585000000,2018,2019,2019-10-29 17:00:00,2020-03-01 17:00:00,MALE,PENGUSAHA,31
custid_22436, JAKARTA TIMUR,DKI JAKARTA,1,BU_B,BU_B,NCF,NCF,412000000,412000000,2019,2019,2019-06-17 17:00:00,2019-06-20 17:00:00,MALE,PENGUSAHA,25
custid_22437, SUKABUMI,JAWA BARAT,0,BU_B,BU_B,NCF,NCF,308000000,308000000,2017,2017,2018-02-01 17:00:00,2018-02-01 17:00:00,MALE,PENGUSAHA,29
custid_22438, BANDUNG,JAWA BARAT,0,BU_B,BU_B,NCF,NCF,366000000,360000000,2018,2018,2018-07-17 17:00:00,2018-10-24 17:00:00,MALE,PENGUSAHA,40
custid_22439, SEMARANG,JAWA TENGAH,0,BU_B,BU_B,NCF,NCF,146000000,212000000,2019,2019,2019-07-17 17:00:00,2020-01-01 17:00:00,MALE,PENGUSAHA,25
custid_22440, BANDUNG,JAWA BARAT,0,BU_B,BU_B,UCF,NCF,320000000,374000000,2012,2018,2018-02-12 17:00:00,2018-09-26 17:00:00,MALE,PENGUSAHA,50
custid_22441, BOGOR,JAWA BARAT,0,BU_B,BU_B,NCF,NCF,269000000,596000000,2018,2020,2018-10-03 17:00:00,2020-09-10 17:00:00,MALE,PENGUSAHA,24
custid_22442, JAKARTA PUSAT,DKI JAKARTA,0,BU_B,BU_B,UCF,NCF,200000000,400000000,2013,2019,2018-02-14 17:00:00,2019-10-10 17:00:00,MALE,PENGUSAHA,30
custid_22443, BATANG,JAWA TENGAH,0,BU_B,BU_B,NCF,NCF,354000000,361000000,2018,2020,2018-10-11 17:00:00,2020-04-28 17:00:00,MALE,PENGUSAHA,47
custid_22444, DEPOK,JAWA BARAT,0,BU_B,BU_B,NCF,NCF,148000000,214000000,2019,2021,2019-07-25 17:00:00,2021-06-24 17:00:00,MALE,PENGUSAHA,44
custid_22445, BANJARBARU,KALIMANTAN SELATAN,0,BU_B,BU_B,NCF,NCF,226000000,230000000,2019,2020,2020-01-09 17:00:00,2020-09-14 17:00:00,MALE,PNS,39
custid_22446, PATI,JAWA TENGAH,0,BU_C,BU_B,NMC,UCF,29000000,180000000,2018,2013,2018-08-10 17:00:00,2020-01-08 17:00:00,MALE,POLISI,27
custid_22447, PASURUAN,JAWA TIMUR,0,BU_B,BU_B,NCF,NCF,163000000,361000000,2019,2019,2019-10-30 17:00:00,2019-12-03 17:00:00,MALE,PENGUSAHA,31
custid_22448, SITUBONDO,JAWA TIMUR,0,BU_C,BU_B,NMC,NCF,30000000,223000000,2019,2021,2019-04-24 17:00:00,2021-03-31 17:00:00,MALE,PENGUSAHA,27
custid_22449, KLATEN,JAWA TENGAH,0,BU_B,BU_B,NCF,NCF,361000000,361000000,2019,2019,2020-03-23 17:00:00,2020-03-23 17:00:00,MALE,PENGUSAHA,30
custid_22450, TANGERANG,BANTEN,0,BU_B,BU_B,NCF,NCF,420000000,485000000,2017,2018,2018-01-01 17:00:00,2019-01-31 17:00:00,MALE,PENGUSAHA,43
custid_22451, JAKARTA UTARA,DKI JAKARTA,1,BU_B,BU_B,NCF,NCF,385000000,385000000,2018,2019,2019-02-12 17:00:00,2019-09-12 17:00:00,MALE,PENGUSAHA,20
custid_22452, JEPARA,JAWA TENGAH,0,BU_B,BU_B,NCF,UCF,138000000,140000000,2018,2010,2018-02-20 17:00:00,2018-09-24 17:00:00,MALE,PENGUSAHA,50
custid_22453, PESISIR SELATAN,SUMATERA BARAT,0,BU_B,BU_B,UCF,UCF,115000000,160000000,2011,2008,2018-07-08 17:00:00,2019-04-14 17:00:00,MALE,PENGUSAHA,44
custid_22454, BOGOR,JAWA BARAT,0,BU_C,BU_B,NMC,NCF,18000000,333000000,2019,2020,2019-11-27 17:00:00,2020-08-27 17:00:00,MALE,PENGUSAHA,47
custid_22455, LANGKAT,SUMATERA UTARA,1,BU_B,BU_B,NCF,NCF,239000000,446000000,2019,2019,2019-07-22 17:00:00,2020-03-05 17:00:00,MALE,PENGUSAHA,31
custid_22456, BANDAR LAMPUNG,LAMPUNG,0,BU_B,BU_B,UCF,UCF,300000000,300000000,2018,2018,2019-09-29 17:00:00,2020-04-29 17:00:00,MALE,PENGUSAHA,47
custid_22457, ROKAN HILIR,RIAU,0,BU_B,BU_B,NCF,NCF,333000000,333000000,2018,2018,2018-08-30 17:00:00,2018-11-25 17:00:00,MALE,OTHERS,24
custid_22458, PASER,KALIMANTAN TIMUR,1,BU_B,BU_B,NCF,NCF,256000000,221000000,2018,2019,2019-04-12 17:00:00,2019-08-12 17:00:00,MALE,PENGUSAHA,26
custid_22459, BARITO KUALA,KALIMANTAN SELATAN,1,BU_B,BU_B,NCF,NCF,212000000,212000000,2018,2018,2018-08-23 17:00:00,2018-10-14 17:00:00,MALE,OTHERS,37
custid_22460, BANDUNG,JAWA BARAT,0,BU_B,BU_B,NCF,NCF,477000000,516000000,2018,2019,2018-11-15 17:00:00,2019-06-11 17:00:00,MALE,PEG SWASTA,23
custid_22461, JAKARTA TIMUR,DKI JAKARTA,0,BU_B,BU_B,NCF,NCF,355000000,485000000,2017,2018,2018-05-04 17:00:00,2018-12-12 17:00:00,MALE,PENGUSAHA,31
custid_22462, PEKALONGAN,JAWA TENGAH,0,BU_C,BU_B,NMC,NCF,25000000,454000000,2019,2019,2019-07-02 17:00:00,2020-01-02 17:00:00,MALE,OTHERS,36
custid_22463, LEBAK,BANTEN,0,BU_B,BU_B,NCF,NCF,360000000,362000000,2018,2019,2018-10-10 17:00:00,2019-08-01 17:00:00,MALE,PENGUSAHA,35
custid_22464, MALANG,JAWA TIMUR,0,BU_B,BU_B,NCF,NCF,212000000,212000000,2019,2019,2019-10-27 17:00:00,2019-10-27 17:00:00,MALE,PENGUSAHA,43
custid_22465, MUARA ENIM,SUMATERA SELATAN,0,BU_C,BU_B,NMC,NCF,20000000,399000000,2020,2021,2020-12-17 17:00:00,2021-07-13 17:00:00,MALE,OTHERS,21
custid_22466, SUKABUMI,JAWA BARAT,1,BU_B,BU_B,NCF,NCF,368000000,304000000,2020,2020,2020-11-10 17:00:00,2021-02-04 17:00:00,MALE,PENGUSAHA,44
